ObjectID,RevisitID,Reporter,OccStatus,Status,RevisitDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Abundance,InfestAcre,GrossAcre,PercentCov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Incidence,Severity,ManageStat,PopStat,RecBasis,UUID,RecSrcTyp,VisitType,PlantTreat,TreatComm,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
"4100832","9317781",Erica Barkley Ontario Parks,Detected,Treated,08-15-14,10-02-14,10-02-14,"Frontenac, Ontario, Canada","  44.49994"," -76.54269",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Less than 10 small plants managed.,,,,Verified,,
"4100832","9318215",Erica Barkley Ontario Parks,Detected,Positive,06-19-15,07-13-15,07-13-15,"Frontenac, Ontario, Canada","  44.49994"," -76.54269",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,10 tiny plants found at the top of the lookout managed.,,,,Verified,,
"4100834","9317782",Erica Barkley Ontario Parks,Detected,Treated,07-04-14,10-02-14,10-02-14,"Frontenac, Ontario, Canada","  44.50710"," -76.55536",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,Seed pods removed and 2nd visit planned.,,,,Verified,,
"4100834","9317783",Erica Barkley Ontario Parks,Detected,Treated,08-15-14,10-02-14,10-02-14,"Frontenac, Ontario, Canada","  44.50710"," -76.55536",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,Very few plants left to manage during this visit. ,,,,Verified,,
"4100834","9318216",Erica Barkley Ontario Parks,Detected,Positive,06-18-15,07-13-15,07-13-15,"Frontenac, Ontario, Canada","  44.50710"," -76.55536",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,Significantly fewer plants than last year- managed.,,,,Verified,,
"4100835","9317784",Erica Barkley Ontario Parks,Detected,Positive,08-15-14,10-02-14,10-02-14,"Frontenac, Ontario, Canada","  44.50514"," -76.55447",WGS84,,,,,,,,,,,,,,,,,Web Report,Monitoring,,,NO PLANTS FOUND. ,,,,Verified,,
"4100839","9317785",Erica Barkley Ontario Parks,Detected,Treated,08-14-14,10-02-14,10-02-14,"Northumberland, Ontario, Canada","  44.12549"," -78.04167",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,Followup management. Only 5 plants with pods. ,,,,Verified,,
"4245132","9318909",Park Naturalist Murphys Point Provincial Park,Detected,Positive,08-08-16,08-09-16,08-09-16,"Lanark, Ontario, Canada","  44.78291"," -76.22168",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,"Cut two stems that were in seed, counted 25-50 other, smaller plants from treatment at a later date.",,,,Verified,,
"4245132","9319084",Park Naturalist Murphys Point Provincial Park,Detected,Treated,09-21-16,09-21-16,09-21-16,"Lanark, Ontario, Canada","  44.78291"," -76.22168",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,"Sprayed with glyphosate. Between campsite 103 and 105, sprayed 200-300 plants, mostly very small, none in seed.",,,,Verified,,
"4245132","9321913",Park Naturalist Murphys Point Provincial Park,Detected,Treated,09-07-17,10-24-17,10-24-17,"Lanark, Ontario, Canada","  44.78291"," -76.22168",WGS84,,,0.12,,,,,,,,,,,,,,Web Report,Treatment,,,"Small patch of Garlic Mustard at campsite edge sprayed with glyphosate, 150 DSV plants sprayed (3 weeks before, approx. 30 plants had fruits manually removed).",,,,Verified,,
