"","Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"1","1",1,1,1,1,0,0,0,0,0,0,0,0,0
"2","6",17,10,0.6612,6,2,1,1,0,0,0,0,0,0
"3","8",1,1,1,1,0,0,0,0,0,0,0,0,0
"4","12",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"5","19",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"6","23",1,1,1,1,0,0,0,0,0,0,0,0,0
"7","24",25,11,0.8095,5,3,0,2,0,1,0,0,0,0
"8","25",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"9","47",375,39,0.9787,8,2,2,2,4,5,2,1,0,0
"10","48",15,7,0.8902,2,3,1,1,0,0,0,0,0,0
"11","49",1,1,1,1,0,0,0,0,0,0,0,0,0
"12","57",51,17,0.8477,8,6,0,1,0,0,0,0,0,1
"13","61",1,1,1,1,0,0,0,0,0,0,0,0,0
"14","68",5,5,0.1111,5,0,0,0,0,0,0,0,0,0
"15","79",218,33,0.945,12,1,3,2,1,1,0,3,2,2
"16","80",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"17","82",2,1,1,0,1,0,0,0,0,0,0,0,0
"18","84",1,1,1,1,0,0,0,0,0,0,0,0,0
"19","90",10,9,0.2216,8,1,0,0,0,0,0,0,0,0
"20","92",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"21","99",12,6,0.9518,1,4,1,0,0,0,0,0,0,0
"22","103",64,22,0.9091,6,6,4,1,1,3,1,0,0,0
"23","104",12,9,0.5417,6,3,0,0,0,0,0,0,0,0
"24","117",1,1,1,1,0,0,0,0,0,0,0,0,0
"25","124",29,18,0.5911,12,2,3,1,0,0,0,0,0,0
"26","128",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"27","131",1,1,1,1,0,0,0,0,0,0,0,0,0
"28","134",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"29","141",2,1,1,0,1,0,0,0,0,0,0,0,0
"30","143",12,8,0.5147,6,1,0,1,0,0,0,0,0,0
"31","161",1,1,1,1,0,0,0,0,0,0,0,0,0
"32","167",1,1,1,1,0,0,0,0,0,0,0,0,0
"33","168",6,3,0.881,1,1,1,0,0,0,0,0,0,0
"34","180",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"35","183",1,1,1,1,0,0,0,0,0,0,0,0,0
"36","184",1,1,1,1,0,0,0,0,0,0,0,0,0
"37","189",1,1,1,1,0,0,0,0,0,0,0,0,0
"38","195",6,5,0.3939,4,1,0,0,0,0,0,0,0,0
"39","196",1,1,1,1,0,0,0,0,0,0,0,0,0
"40","207",1,1,1,1,0,0,0,0,0,0,0,0,0
"41","208",7,6,0.3304,5,1,0,0,0,0,0,0,0,0
"42","210",1,1,1,1,0,0,0,0,0,0,0,0,0
"43","213",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"44","214",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"45","233",1,1,1,1,0,0,0,0,0,0,0,0,0
"46","236",95,36,0.8974,10,12,5,4,4,0,0,0,0,1
"47","238",1,1,1,1,0,0,0,0,0,0,0,0,0
"48","242",1,1,1,1,0,0,0,0,0,0,0,0,0
"49","248",1,1,1,1,0,0,0,0,0,0,0,0,0
"50","261",1,1,1,1,0,0,0,0,0,0,0,0,0
"51","264",181,34,0.9452,10,7,3,0,3,1,1,0,1,0
"52","265",467,42,0.9872,6,5,3,3,1,2,2,1,3,0
"53","266",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"54","267",22,16,0.5167,11,4,1,0,0,0,0,0,0,0
"55","268",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"56","270",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"57","271",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"58","272",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"59","274",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"60","277",29,16,0.6992,9,4,2,0,0,1,0,0,0,0
"61","284",116,27,0.9227,9,2,3,3,3,1,0,4,0,0
"62","287",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"63","289",26,17,0.5889,11,4,1,1,0,0,0,0,0,0
"64","292",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"65","293",44,19,0.8243,8,6,1,1,2,0,1,0,0,0
"66","295",18,10,0.7461,5,4,0,0,1,0,0,0,0,0
"67","299",1,1,1,1,0,0,0,0,0,0,0,0,0
"68","300",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"69","308",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"70","315",1,1,1,1,0,0,0,0,0,0,0,0,0
"71","319",501,45,0.992,4,2,0,3,1,6,6,2,1,2
"72","326",5,5,0.1111,5,0,0,0,0,0,0,0,0,0
"73","332",989,47,0.9939,6,2,1,2,1,4,0,2,1,2
"74","337",9,7,0.3651,6,0,1,0,0,0,0,0,0,0
"75","344",2,1,1,0,1,0,0,0,0,0,0,0,0
"76","347",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"77","352",5,3,0.7333,2,0,1,0,0,0,0,0,0,0
"78","354",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"79","355",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"80","356",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"81","363",1,1,1,1,0,0,0,0,0,0,0,0,0
"82","373",21,9,0.7666,5,1,0,2,0,1,0,0,0,0
"83","376",14,14,0.0117,14,0,0,0,0,0,0,0,0,0
"84","378",1,1,1,1,0,0,0,0,0,0,0,0,0
"85","379",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"86","380",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"87","390",10,6,0.7387,3,2,1,0,0,0,0,0,0,0
"88","393",1,1,1,1,0,0,0,0,0,0,0,0,0
"89","406",8,5,0.825,2,3,0,0,0,0,0,0,0,0
"90","434",1,1,1,1,0,0,0,0,0,0,0,0,0
"91","436",71,29,0.7766,16,5,2,1,1,1,1,1,1,0
"92","441",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"93","444",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"94","453",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"95","457",11,8,0.4721,6,1,1,0,0,0,0,0,0,0
"96","464",1,1,1,1,0,0,0,0,0,0,0,0,0
"97","472",1,1,1,1,0,0,0,0,0,0,0,0,0
"98","480",36,21,0.6744,12,5,3,0,1,0,0,0,0,0
"99","487",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"100","491",1,1,1,1,0,0,0,0,0,0,0,0,0
"101","498",41,16,0.8317,7,2,4,1,1,0,0,0,1,0
"102","499",18,9,0.7841,4,1,4,0,0,0,0,0,0,0
"103","510",1,1,1,1,0,0,0,0,0,0,0,0,0
"104","516",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"105","531",1,1,1,1,0,0,0,0,0,0,0,0,0
"106","535",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"107","539",28,18,0.5792,12,3,2,1,0,0,0,0,0,0
"108","540",8,7,0.2841,6,1,0,0,0,0,0,0,0,0
"109","543",23,14,0.6673,8,4,1,1,0,0,0,0,0,0
"110","544",18,11,0.6852,6,3,2,0,0,0,0,0,0,0
"111","549",530,41,0.9906,5,5,1,2,1,3,0,2,2,3
"112","560",1,1,1,1,0,0,0,0,0,0,0,0,0
"113","561",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"114","562",1,1,1,1,0,0,0,0,0,0,0,0,0
"115","565",1,1,1,1,0,0,0,0,0,0,0,0,0
"116","568",1,1,1,1,0,0,0,0,0,0,0,0,0
"117","573",1,1,1,1,0,0,0,0,0,0,0,0,0
"118","592",7,7,0.0526,7,0,0,0,0,0,0,0,0,0
"119","593",6,4,0.5833,3,0,1,0,0,0,0,0,0,0
"120","594",1,1,1,1,0,0,0,0,0,0,0,0,0
