sp,lon,lat
DSV,-79.37697,43.732505
DSV,-79.192878,43.843383
DSV,-79.458162,43.771708
DSV,-79.443987,43.763697
DSV,-79.41229,43.682716
DSV,-79.150351,43.811859
DSV,-79.361764,43.770817
DSV,-79.359244,43.732323
DSV,-79.319463,43.713689
DSV,-79.588905,43.821608
DSV,-79.357693,43.735289
DSV,-79.539041,43.733506
DSV,-79.519244,43.728238
DSV,-79.211546,43.729248
DSV,-79.548164,43.590181
DSV,-79.219709,43.72859
DSV,-79.371259,43.723696
DSV,-79.371401,43.722801
DSV,-79.368705,43.827444
DSV,-79.358111,43.778509
DSV,-79.553453,43.6786
DSV,-79.361068,43.724409
DSV,-79.605293,43.724491
DSV,-79.399729,43.692381
DSV,-79.356686,43.801844
DSV,-79.617967,43.842158
DSV,-79.224603,43.716903
DSV,-79.615051,43.843781
DSV,-79.609436,43.726532
DSV,-79.60862,43.727814
DSV,-79.440225,43.764222
DSV,-79.496582,43.818764
DSV,-79.171267,43.831464
DSV,-79.477977,43.794174
DSV,-79.200358,43.768269
DSV,-79.130356,43.779755
DSV,-79.357633,43.773313
DSV,-79.499412,43.667556
DSV,-79.147498,43.783376
DSV,-79.326653,43.676971
DSV,-79.187172,43.793096
DSV,-79.386848,43.687433
DSV,-79.162662,43.779342
DSV,-79.168981,43.824353
DSV,-79.313737,43.687388
DSV,-79.358231,43.674343
DSV,-79.359736,43.70107
DSV,-79.617308,43.650004
DSV,-79.334951,43.699891
DSV,-79.166901,43.816772
DSV,-79.164719,43.815113
DSV,-79.478958,43.636921
DSV,-79.292734,43.683454
DSV,-79.48243,43.634964
DSV,-79.43711,43.700704
DSV,-79.375596,43.788926
DSV,-79.457525,43.664087
DSV,-79.223851,43.775133
DSV,-79.358745,43.686212
DSV,-79.386321,43.685875
DSV,-79.592817,43.790129
DSV,-79.357356,43.77524
DSV,-79.37388,43.802681
DSV,-79.609594,43.847687
DSV,-79.596756,43.838839
DSV,-79.369059,43.776673
DSV,-79.381426,43.797124
DSV,-79.369741,43.777733
DSV,-79.375942,43.79022
DSV,-79.203592,43.757479
DSV,-79.322868,43.638445
DSV,-79.355743,43.719581
DSV,-79.182779,43.779339
DSV,-79.246058,43.710482
DSV,-79.366163,43.685464
DSV,-79.2814,43.706293
DSV,-79.456631,43.704733
DSV,-79.278972,43.767302
DSV,-79.383515,43.682126
DSV,-79.367347,43.689053
DSV,-79.45519,43.817979
DSV,-79.303565,43.836906
DSV,-79.380745,43.79898
DSV,-79.303392,43.698162
DSV,-79.519574,43.775315
DSV,-79.368726,43.686471
DSV,-79.517845,43.776028
DSV,-79.313103,43.700687
DSV,-79.342067,43.666086
DSV,-79.475169,43.628621
DSV,-79.470735,43.632501
DSV,-79.615044,43.6474
DSV,-79.334532,43.778349
DSV,-79.324091,43.648267
DSV,-79.462239,43.650361
DSV,-79.476467,43.63721
DSV,-79.49285,43.650712
DSV,-79.451838,43.662527
DSV,-79.214989,43.727626
DSV,-79.463203,43.645347
DSV,-79.138257,43.825953
DSV,-79.590615,43.822235
DSV,-79.227089,43.712463
DSV,-79.306533,43.659456
DSV,-79.478613,43.798409
DSV,-79.522622,43.647699
DSV,-79.299876,43.697426
DSV,-79.157355,43.759497
DSV,-79.516667,43.742591
DSV,-79.459602,43.647689
DSV,-79.308753,43.8275
DSV,-79.362924,43.771393
DSV,-79.267655,43.830507
DSV,-79.266892,43.828728
DSV,-79.380176,43.778946
DSV,-79.266779,43.826925
DSV,-79.390731,43.681578
DSV,-79.187745,43.784263
DSV,-79.512512,43.6744
DSV,-79.601142,43.772103
